epoch,loss,accuracy
1,0.9798,0.2189
2,0.9193,0.241
3,0.8805,0.2468
4,0.8463,0.2682
5,0.777,0.2982
6,0.7172,0.2962
7,0.6952,0.3149
8,0.6635,0.3316
9,0.6322,0.3291
10,0.5824,0.3586
