epoch,loss,accuracy
1,1.0686,0.2671
2,0.9197,0.3124
3,0.803,0.3505
4,0.6985,0.3921
5,0.6032,0.4354
6,0.5173,0.4729
7,0.4309,0.537
8,0.3604,0.5716
9,0.3118,0.6037
10,0.2747,0.6534
