epoch,loss,accuracy
1,0.9872,0.2386
2,0.9429,0.2811
3,0.9246,0.304
4,0.8585,0.3199
5,0.8649,0.3405
6,0.8305,0.3741
7,0.7772,0.3988
8,0.7379,0.4221
9,0.6989,0.4346
10,0.6858,0.4588
