epoch,loss,accuracy
1,1.0272,0.2643
2,0.989,0.2959
3,1.0505,0.3254
4,1.0244,0.3724
5,0.9978,0.4097
6,0.9105,0.4653
7,0.8934,0.5341
8,0.821,0.5869
9,0.7782,0.6163
10,0.7839,0.6278
