epoch,loss,accuracy
1,1.2638,0.2563
2,1.1854,0.2722
3,1.1335,0.2624
4,1.0977,0.2865
5,1.0321,0.3167
6,0.983,0.3236
7,0.9928,0.3602
8,0.9514,0.3585
9,0.9056,0.3496
10,0.8921,0.3635
