round_number,global_mse,global_psnr,timestamp,chaos_scenario
1,0.22419150173664093,6.493808539124684,2026-03-06 00:27:34,Normal
2,0.11013463884592056,9.58076068006376,2026-03-06 00:27:43,Normal
5,0.09987934678792953,10.005243066022814,2026-03-06 00:27:55,Normal
5,0.09402015805244446,10.267790230770707,2026-03-06 00:27:55,Normal
6,0.07929705828428268,11.00742923585301,2026-03-06 00:28:05,Normal
7,0.0753459706902504,11.229399676861718,2026-03-06 00:28:14,Normal
9,0.07132287323474884,11.46771169634906,2026-03-06 00:28:25,Normal
10,0.07630174607038498,11.174655236433285,2026-03-06 00:28:36,Normal
11,0.07189682126045227,11.432903104455239,2026-03-06 00:28:44,Normal
13,0.06991990655660629,11.553991607795082,2026-03-06 00:28:56,Normal
15,0.06813187897205353,11.666496337240105,2026-03-06 00:29:06,Normal
15,0.07090280205011368,11.493366013351833,2026-03-06 00:29:06,Normal
16,0.06851304322481155,11.642267414809137,2026-03-06 00:29:15,Normal
18,0.06850191950798035,11.642972588718951,2026-03-06 00:29:25,Normal
20,0.0710044652223587,11.487143391618522,2026-03-06 00:29:35,Normal
20,0.07617303729057312,11.18198727191999,2026-03-06 00:29:35,Normal
21,0.07184422761201859,11.43608119902132,2026-03-06 00:29:44,Normal
23,0.07510890066623688,11.243085945379796,2026-03-06 00:29:54,Normal
25,0.07069271802902222,11.506253200459733,2026-03-06 00:30:04,Normal
26,0.07392911612987518,11.311844860412567,2026-03-06 00:30:13,Normal
28,0.07271987944841385,11.383468497384,2026-03-06 00:30:23,Normal
30,0.07081548869609833,11.498717434462488,2026-03-06 00:30:33,Normal
