timestamp,node_id,bytes_sent,loss,round_number
2026-03-06 00:27:31,client-noniid,20620402,0.14291943609714508,0
2026-03-06 00:27:32,client-noisy,20633616,0.2164345532655716,0
2026-03-06 00:27:34,client-full,37079630,0.22137604653835297,0
2026-03-06 00:27:38,client-noniid,20658328,0.11237834393978119,1
2026-03-06 00:27:39,client-noisy,20659984,0.11382567137479782,1
2026-03-06 00:27:43,client-full,37380570,0.10220280289649963,1
2026-03-06 00:27:45,client-noniid,20668399,0.08444881439208984,2
2026-03-06 00:27:46,client-noisy,20668765,0.077042356133461,2
2026-03-06 00:27:52,client-full,37446104,0.0926087275147438,2
2026-03-06 00:27:54,client-noniid,20669265,0.0932016372680664,3
2026-03-06 00:27:54,client-noisy,20669258,0.09061536192893982,3
2026-03-06 00:28:02,client-noniid,20665361,0.07953184098005295,5
2026-03-06 00:28:03,client-noisy,20667796,0.07741493731737137,5
2026-03-06 00:28:05,client-full,37205102,0.06637602299451828,5
2026-03-06 00:28:09,client-noniid,20653370,0.0697859451174736,6
2026-03-06 00:28:11,client-noisy,20660495,0.07372722029685974,6
2026-03-06 00:28:14,client-full,37104141,0.07235057651996613,6
2026-03-06 00:28:16,client-noniid,20647621,0.07357034832239151,7
2026-03-06 00:28:17,client-noisy,20656828,0.0694272443652153,7
2026-03-06 00:28:23,client-full,37009141,0.06354202330112457,7
2026-03-06 00:28:24,client-noniid,20654905,0.07123884558677673,8
2026-03-06 00:28:25,client-noisy,20650111,0.06956290453672409,9
2026-03-06 00:28:32,client-noisy,20641761,0.06694027781486511,9
2026-03-06 00:28:33,client-noniid,20649559,0.07303839176893234,9
2026-03-06 00:28:35,client-full,36982928,0.06962842494249344,9
2026-03-06 00:28:40,client-noisy,20644617,0.06770820170640945,10
2026-03-06 00:28:41,client-noniid,20646903,0.07406484335660934,10
2026-03-06 00:28:44,client-full,36980849,0.0682605654001236,10
2026-03-06 00:28:46,client-noisy,20640932,0.0712207481265068,11
2026-03-06 00:28:48,client-noniid,20643768,0.07335998862981796,11
2026-03-06 00:28:53,client-full,36967800,0.07175717502832413,11
2026-03-06 00:28:54,client-noisy,20642546,0.06628461927175522,12
2026-03-06 00:28:55,client-noniid,20639902,0.07005535066127777,13
2026-03-06 00:29:02,client-noniid,20648229,0.06669235974550247,13
2026-03-06 00:29:04,client-noisy,20653348,0.07299058884382248,13
2026-03-06 00:29:05,client-full,36928896,0.06815452128648758,13
2026-03-06 00:29:10,client-noniid,20646981,0.06826481223106384,15
2026-03-06 00:29:13,client-noisy,20643246,0.06999261677265167,15
2026-03-06 00:29:15,client-full,36872383,0.06784562021493912,15
2026-03-06 00:29:17,client-noniid,20638477,0.062020573765039444,16
2026-03-06 00:29:20,client-noisy,20640650,0.06687755137681961,16
2026-03-06 00:29:23,client-full,36856672,0.06394288688898087,16
2026-03-06 00:29:24,client-noniid,20634116,0.06626773625612259,17
2026-03-06 00:29:27,client-noisy,20629348,0.06696530431509018,18
2026-03-06 00:29:32,client-noniid,20630782,0.07312841713428497,18
2026-03-06 00:29:34,client-full,36850918,0.07043889909982681,18
2026-03-06 00:29:35,client-noisy,20634907,0.06911170482635498,19
2026-03-06 00:29:39,client-noniid,20639660,0.07050562649965286,20
2026-03-06 00:29:42,client-noisy,20636764,0.07211854308843613,20
2026-03-06 00:29:44,client-full,36836651,0.0686773732304573,20
2026-03-06 00:29:45,client-noniid,20640828,0.06663557142019272,21
2026-03-06 00:29:49,client-noisy,20641868,0.06769081950187683,21
2026-03-06 00:29:53,client-full,36870573,0.06561743468046188,21
2026-03-06 00:29:54,client-noniid,20635092,0.06394703686237335,22
2026-03-06 00:29:56,client-noisy,20634511,0.07012871652841568,23
2026-03-06 00:30:01,client-noniid,20633702,0.06448154896497726,23
2026-03-06 00:30:03,client-full,36884449,0.06780721992254257,23
2026-03-06 00:30:04,client-noisy,20633014,0.0663476511836052,24
2026-03-06 00:30:08,client-noniid,20630594,0.06865743547677994,25
2026-03-06 00:30:11,client-noisy,20630439,0.07141222804784775,25
2026-03-06 00:30:13,client-full,36889219,0.07026858627796173,25
2026-03-06 00:30:15,client-noniid,20629325,0.07291613519191742,26
2026-03-06 00:30:18,client-noisy,20627287,0.06969878077507019,26
2026-03-06 00:30:22,client-full,36898415,0.056406419724226,26
2026-03-06 00:30:23,client-noniid,20629295,0.06674700230360031,27
2026-03-06 00:30:25,client-noisy,20616450,0.06550437211990356,28
2026-03-06 00:30:30,client-noniid,20636150,0.06630665063858032,28
2026-03-06 00:30:32,client-full,36912303,0.06733036041259766,28
2026-03-06 00:30:33,client-noisy,20639479,0.07243233919143677,29
