epoch,loss,accuracy
1,1.1288,0.2556
2,1.01,0.2809
3,0.9109,0.3134
4,0.7821,0.3592
5,0.6703,0.4039
6,0.5893,0.473
7,0.5246,0.504
8,0.4662,0.542
9,0.4083,0.5874
10,0.3569,0.6413
